week,hostname,users,sessions,days
2018-10-22,broom.tidyverse.org,14,14,1
2018-10-22,dbplyr.tidyverse.org,3,3,1
2018-10-22,dplyr.tidyverse.org,1675,1778,1
2018-10-22,ggplot2.tidyverse.org,4879,6107,1
2018-10-22,glue.tidyverse.org,8,9,1
2018-10-22,googledrive.tidyverse.org,36,41,1
2018-10-22,haven.tidyverse.org,30,29,1
2018-10-22,here.r-lib.org,2,2,1
2018-10-22,lubridate.tidyverse.org,117,113,1
2018-10-22,magrittr.tidyverse.org,33,28,1
2018-10-22,modelr.tidyverse.org,5,5,1
2018-10-22,pillar.r-lib.org,3,3,1
2018-10-22,purrr.tidyverse.org,197,161,1
2018-10-22,readxl.tidyverse.org,260,274,1
2018-10-22,reprex.tidyverse.org,80,74,1
2018-10-22,stringr.tidyverse.org,313,316,1
2018-10-22,tibble.tidyverse.org,140,109,1
2018-10-22,tidymodels.github.io,11,11,1
2018-10-22,tidyr.tidyverse.org,554,496,1
2018-10-22,tidyverse.tidyverse.org,104,93,1
2018-10-22,www.tidyverse.org,801,776,1
2018-10-29,broom.tidyverse.org,194,177,7
2018-10-29,dbplyr.tidyverse.org,95,84,7
2018-10-29,dplyr.tidyverse.org,20530,21724,7
2018-10-29,ggplot2.tidyverse.org,51842,63909,7
2018-10-29,glue.tidyverse.org,51,47,7
2018-10-29,googledrive.tidyverse.org,425,466,7
2018-10-29,haven.tidyverse.org,412,389,7
2018-10-29,here.r-lib.org,16,15,6
2018-10-29,lubridate.tidyverse.org,1388,1381,7
2018-10-29,magrittr.tidyverse.org,351,312,7
2018-10-29,modelr.tidyverse.org,65,64,7
2018-10-29,pillar.r-lib.org,7,7,5
2018-10-29,purrr.tidyverse.org,2001,1711,7
2018-10-29,readxl.tidyverse.org,2869,2945,7
2018-10-29,reprex.tidyverse.org,340,338,7
2018-10-29,rprojroot.r-lib.org,9,8,4
2018-10-29,stringr.tidyverse.org,3919,3961,7
2018-10-29,tibble.tidyverse.org,1791,1330,7
2018-10-29,tidymodels.github.io,184,264,7
2018-10-29,tidyr.tidyverse.org,7403,6832,7
2018-10-29,tidyverse.tidyverse.org,971,746,7
2018-10-29,www.tidyverse.org,10242,9994,7
2018-11-05,broom.tidyverse.org,239,212,7
2018-11-05,dbplyr.tidyverse.org,91,89,7
2018-11-05,dplyr.tidyverse.org,20544,21780,7
2018-11-05,ggplot2.tidyverse.org,57683,71521,7
2018-11-05,glue.tidyverse.org,69,56,7
2018-11-05,googledrive.tidyverse.org,419,476,7
2018-11-05,haven.tidyverse.org,463,462,7
2018-11-05,here.r-lib.org,13,14,7
2018-11-05,lubridate.tidyverse.org,1449,1398,7
2018-11-05,magrittr.tidyverse.org,385,334,7
2018-11-05,modelr.tidyverse.org,69,66,7
2018-11-05,pillar.r-lib.org,5,7,3
2018-11-05,purrr.tidyverse.org,2066,1706,7
2018-11-05,readxl.tidyverse.org,2926,2988,7
2018-11-05,reprex.tidyverse.org,360,358,7
